List of the scripts and tools used for data analysis in this study.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
(A) Phylogenomic pipeline,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1. RAW sequence data processing,Tools,Script,Link,,,,,,,,,,,,,,,,,,,,,,
QC checking,FastQC,,https://github.com/s-andrews/FastQC,,,,,,,,,,,,,,,,,,,,,,
Trimming,BBtools,,https://jgi.doe.gov/data-and-tools/software-tools/bbtools/,,,,,,,,,,,,,,,,,,,,,,
Assembling,rnaSPAdes,,https://github.com/ablab/spades?tab=readme-ov-file,,,,,,,,,,,,,,,,,,,,,,
2. Post assembly pipeline and single gene tree construction,,,,,,,,,,,,,,,,,,,,,,,,,
Post assembly pipeline,PhyloToL,wrapper.py (1a_TranscriptLengthFilter.py - 7b_SummaryStats.py),https://github.com/Katzlab/PhyloToL-6/tree/main/PTL1/Transcriptomes/Scripts,,,,,,,,,,,,,,,,,,,,,,
Summarize nucleotide composition statistics for a fasta file,PhyloToL,CUB.py,https://github.com/Katzlab/PhyloToL-6/blob/main/Utilities/for_fastas/CUB.py,,,,,,,,,,,,,,,,,,,,,,
Multiple sequence alignments (MSA),PhyloToL,phylotol.py,https://github.com/Katzlab/PhyloToL-6/tree/main/PTL2/Scripts,,,,,,,,,,,,,,,,,,,,,,
Single gene tree construction,PhyloToL,phylotol.py,https://github.com/Katzlab/PhyloToL-6/tree/main/PTL2/Scripts,,,,,,,,,,,,,,,,,,,,,,
3. Data curation,,,,,,,,,,,,,,,,,,,,,,,,,
Select clades of interest from large trees using taxonomic specifications,PhyloToL,CladeGrabbing.py,https://github.com/Katzlab/PhyloToL-6/blob/main/Utilities/for_trees/CladeGrabbing.py,,,,,,,,,,,,,,,,,,,,,,
Remove low coverage sequences,,,,,,,,,,,,,,,,,,,,,,,,,
Only keeping ortholog sequences,,,,,,,,,,,,,,,,,,,,,,,,,
4. Concatenation-based phylogenomic approach,,,,,,,,,,,,,,,,,,,,,,,,,
Multiple sequence alignments (MSA) (only for dataset includes single-copy genes),MAFFT,,https://github.com/GSLBiotech/mafft?tab=readme-ov-file,,,,,,,,,,,,,,,,,,,,,,
Trimming MSA,trimAl,,https://github.com/inab/trimal,,,,,,,,,,,,,,,,,,,,,,
Concatenation of MSA,Geneious,,https://www.geneious.com/,,,,,,,,,,,,,,,,,,,,,,
Maximum likelihood Tree,IQ-TREE,,http://www.iqtree.org/,,,,,,,,,,,,,,,,,,,,,,
Likelihood mapping,TREE-PUZZLE,,http://www.tree-puzzle.de/,,,,,,,,,,,,,,,,,,,,,,
5. Species tree using Asteroid,,,,,,,,,,,,,,,,,,,,,,,,,
Single gene tree construction (dataset includes multi-copy genes),IQ-TREE,,http://www.iqtree.org/,,,,,,,,,,,,,,,,,,,,,,
Species tree construction,Asteroid,,https://github.com/BenoitMorel/Asteroid,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
(B) rRNA genes reconstruction,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Read mapping,HISAT2,,https://github.com/DaehwanKimLab/hisat2,,,,,,,,,,,,,,,,,,,,,,
Contig assembling,barrnap,,https://github.com/tseemann/barrnap,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
(C) rRNA phylogeny,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Multiple sequence alignments (MSA),MUSCLE,,https://github.com/rcedgar/muscle,,,,,,,,,,,,,,,,,,,,,,
Trimming MSA,Gblocks,,https://www.biologiaevolutiva.org/jcastresana/Gblocks/Gblocks_documentation.html,,,,,,,,,,,,,,,,,,,,,,
Maximum likelihood Tree,IQ-TREE,,http://www.iqtree.org/,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
